Business Defined SIC Industry 4 Cd,Business Defined SIC Industry 4 Descr,Business Defined SIC Industry Segment Cd,Business Defined SIC Industry Segment Descr,Business Defined SIC Industry Sub-Segment Level 1 Cd,Business Defined SIC Industry Sub-Segment Level 1 Descr,Business Defined SIC Industry Sub-Segment Level 2 Cd,Business Defined SIC Industry Sub-Segment Level 2 Descr,Business Defined SIC Industry Leg of Supply Chain Cd,Business Defined SIC Industry Leg of Supply Chain Descr
0722,Crop Harvesting,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0723,Crop preparation services for market,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0724,Cotton Ginning,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0741,Veterinary Services For Livestock,8000,Healthcare,800020,Animal Health,80002001,Animal Health,03,Retailing
0742,"Veterinary Services, Specialties",8000,Healthcare,800020,Animal Health,80002001,Animal Health,03,Retailing
0751,"Livestock services, except veterinary",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,04,Post-Sales And Supporting Services
0752,Animal Specialty Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,03,Retailing
0761,Farm Labor Contractors,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,04,Post-Sales And Supporting Services
0762,Farm Management Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,04,Post-Sales And Supporting Services
0781,Landscape Counseling and Planning,6000,Professional Services,600022,"Engineering, Architecture, & Research",6000225B,"Engineering, Architecture, & Research",03,Retailing
0782,Lawn and Garden Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,03,Retailing
0783,Ornamental Shrub and Tree Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,03,Retailing
0811,Timber Tracts,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0831,Forest Products,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0851,Forestry Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,04,Post-Sales And Supporting Services
0912,Finfish,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0913,Shellfish,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0919,Miscellaneous Marine Products,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0921,Fish Hatcheries and Preserves,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0971,"Hunting, Trapping, Game Propagation",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1001,Diversified Vehicles & Parts (INDUSTRY SEGMENT),2000,Diversified Vehicles & Parts,200045,Misc. Diversified Vehicles & Parts,2000450D,Misc. Diversified Vehicles & Parts,05,All Other
1011,Iron Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1021,Copper Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1031,Lead and Zinc Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1041,Gold Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1044,Silver Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1061,"Ferroalloy Ores, Except Vanadium",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1081,Metal Mining Services,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,04,Post-Sales And Supporting Services
1094,Uranium-radium-vanadium Ores,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1099,"Metal Ores, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
1221,Bituminous coal and lignite-surface mining,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1222,Bituminous Coal-underground Mining,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1231,Anthracite Mining,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1241,Coal Mining Services,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,04,Post-Sales And Supporting Services
1311,Crude Petroleum and Natural Gas,4000,Industrial Products,400055,Oil and Gas,4000550E,Oil and Gas,05,All Other
1321,Natural Gas Liquids,4000,Industrial Products,400055,Oil and Gas,4000550E,Oil and Gas,05,All Other
1381,Drilling Oil and Gas Wells,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1382,Oil and Gas Exploration Services,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,04,Post-Sales And Supporting Services
1389,"Oil and Gas Field Services, Nec",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,04,Post-Sales And Supporting Services
1411,Dimension Stone,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1422,Crushed and Broken Limestone,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1423,Crushed and Broken Granite,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1429,"Crushed and Broken Stone, Nec",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1442,Construction Sand and Gravel,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1446,Industrial Sand,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1455,Kaolin and Ball Clay,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1459,"Clay and Related Minerals, Nec",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1474,"Potash, Soda, and Borate Minerals",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1475,Phosphate Rock,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1479,Chemical and Fertilizer Mining,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1481,Nonmetallic Mineral Services,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,04,Post-Sales And Supporting Services
1499,Miscellaneous Nonmetallic Mining,4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,05,All Other
1521,Single-family Housing Construction,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1522,"Residential Construction, Nec",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1531,Operative Builders,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1541,Industrial Buildings and Warehouses,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1542,"Nonresidential Construction, Nec",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1611,Highway and Street Construction,4000,Industrial Products,400012,Construction,4000129A,Construction,05,All Other
1622,"Bridge, tunnel, and elevated highway",4000,Industrial Products,400012,Construction,4000129A,Construction,05,All Other
1623,"Water, Sewer, and Utility Lines",4000,Industrial Products,400012,Construction,4000129A,Construction,05,All Other
1629,"Heavy Construction, Nec",4000,Industrial Products,400012,Construction,4000129A,Construction,05,All Other
1711,"Plumbing, Heating, Air-conditioning",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1721,Painting and Paper Hanging,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1731,Electrical Work,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1741,Masonry and Other Stonework,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1742,"Plastering, Drywall, and Insulation",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1743,"Terrazzo, Tile, Marble, Mosaic Work",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1751,Carpentry Work,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1752,"Floor Laying and Floor Work, Nec",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1761,"Roofing, siding, and sheetmetal work",4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1771,Concrete Work,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1781,Water Well Drilling,4000,Industrial Products,400012,Construction,4000129A,Construction,05,All Other
1791,Structural Steel Erection,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1793,Glass and Glazing Work,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1794,Excavation Work,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
1795,Wrecking and Demolition Work,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
1796,Installing Building Equipment,4000,Industrial Products,400012,Construction,4000129A,Construction,01,Manufacturing
1799,"Special Trade Contractors, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2001,Industrial Manufacuring & Distribution (INDUSTRY SEGMENT),4000,Industrial Products,400051,Misc. Industrial Manufacturing & Distribution,4000516D,Misc. Industrial Manufacturing & Distribution,05,All Other
2011,Meat Packing Plants,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2013,Sausages and Other Prepared Meats,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2015,Poultry Slaughtering and Processing,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2021,Creamery Butter,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2022,Cheese; Natural and Processed,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2023,"Dry, Condensed, Evaporated Products",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2024,Ice Cream and Frozen Deserts,5000,Apparel and Consumer Goods,500015,Consumer Goods Wholesalers,50001523,Food,01,Manufacturing
2026,Fluid Milk,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2032,Canned Specialties,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2033,Canned Fruits and Specialties,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2034,"Dehydrated fruits, vegetables, soups",5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2035,"Pickles, sauces, and salad dressings",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2037,Frozen Fruits and Vegetables,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2038,"Frozen Specialties, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2041,Flour and Other Grain Mill Products,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2043,Cereal Breakfast Foods,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2044,Rice Milling,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2045,Prepared Flour Mixes and Doughs,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2046,Wet Corn Milling,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2047,Dog and Cat Food,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2048,"Prepared Feeds, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2051,"Bread, Cake, and Related Products",5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2052,Cookies and Crackers,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2053,"Frozen bakery products, except bread",5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2061,Raw Cane Sugar,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2062,Cane Sugar Refining,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
2063,Beet Sugar,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2064,Candy and other confectionery products,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2066,Chocolate and Cocoa Products,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2067,Chewing Gum,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2068,Salted and Roasted Nuts and Seeds,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2074,Cottonseed Oil Mills,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
2075,Soybean Oil Mills,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2076,"Vegetable Oil Mills, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2077,Animal and Marine Fats and Oils,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2079,Edible Fats and Oils,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2082,Malt Beverages,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2083,Malt,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2084,"Wines, Brandy, and Brandy Spirits",5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,03,Retailing
2085,Distilled and Blended Liquors,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2086,Bottled and Canned Soft Drinks,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2087,"Flavoring Extracts and Syrups, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2091,Canned and Cured Fish and Seafoods,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2092,Fresh or Frozen Packaged Fish,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2095,Roasted Coffee,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2096,Potato Chips and Similar Snacks,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2097,Manufactured Ice,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2098,Macaroni and Spaghetti,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001423,Food,01,Manufacturing
2099,"Food Preparations, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2111,Cigarettes,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,01,Manufacturing
2121,Cigars,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,01,Manufacturing
2131,Chewing and Smoking Tobacco,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,01,Manufacturing
2141,Tobacco Stemming and Redrying,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2211,"Broadwoven Fabric Mills, Cotton",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2221,"Broadwoven Fabric Mills, Manmade",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2231,"Broadwoven Fabric Mills, Wool",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2241,Narrow Fabric Mills,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2251,"Women's Hosiery, Except Socks",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2252,"Hosiery, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2253,Knit Outerwear Mills,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2254,Knit Underwear Mills,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2257,Weft Knit Fabric Mills,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2258,Lace and Warp Knit Fabric Mills,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2259,"Knitting Mills, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2261,"Finishing Plants, Cotton",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2262,"Finishing Plants, Manmade",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2269,"Finishing Plants, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2273,Carpets and Rugs,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001425,Furnishings,01,Manufacturing
2281,Yarn Spinning Mills,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2282,Throwing and Winding Mills,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2284,Thread Mills,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2295,"Coated Fabrics, Not Rubberized",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2296,Tire Cord and Fabrics,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2297,Nonwoven Fabrics,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2298,Cordage and Twine,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2299,"Textile Goods, Nec",4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2311,"Men's and Boy's Suits and Coats",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2321,"Men's and Boy's Furnishings",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2322,"Men's and boy's underwear and nightwear",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2323,"Men's and Boy's Neckwear",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2325,"Men's and Boy's Trousers and Slacks",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2326,"Men's and Boy's Work Clothing",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2329,"Men's and Boy's Clothing, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2331,"Women's and misses' blouses and shirts",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2335,"Women's, junior's, and misses' dresses",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2337,"Women's and Misses' Suits and Coats",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2339,"Women's and Misses' Outerwear, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2341,"Women's and Children's Underwear",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2342,"Bras, Girdles, and Allied Garments",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2353,"Hats, Caps, and Millinery",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2361,"Girl's and children's dresses, blouses",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2369,"Girl's and children's outerwear, nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2371,Fur Goods,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2381,Fabric Dress and Work Gloves,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2384,Robes and Dressing Gowns,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2385,Waterproof Outerwear,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2386,Leather and Sheep-lined Clothing,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2387,Apparel Belts,5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2389,"Apparel and Accessories, Nec",5000,Apparel and Consumer Goods,500004,Apparel Manufacturers,5000042A,Apparel Manufacturers,01,Manufacturing
2391,Curtains and Draperies,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001425,Furnishings,01,Manufacturing
2392,"Household Furnishings, Nec",5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001425,Furnishings,01,Manufacturing
2393,Textile Bags,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,01,Manufacturing
2394,Canvas and Related Products,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,01,Manufacturing
2395,Pleating and Stitching,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2396,Automotive and Apparel Trimmings,4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2397,Schiffli Machine Embroideries,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,01,Manufacturing
2399,"Fabricated Textile Products, Nec",4000,Industrial Products,400038,Industrial Textile,4000385C,Industrial Textile,01,Manufacturing
2411,Logging,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
2421,"Sawmills and Planing Mills, General",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,01,Manufacturing
2426,Hardwood dimension and flooring mills,4000,Industrial Products,400024,Fabricated Materials,4000247B,Fabricated Materials,01,Manufacturing
2429,"Special Product Sawmills, Nec",4000,Industrial Products,400062,Raw Materials Manufacturing,4000626E,Raw Materials Manufacturing,01,Manufacturing
2431,Millwork,4000,Industrial Products,400024,Fabricated Materials,4000247B,Fabricated Materials,01,Manufacturing
2434,Wood Kitchen Cabinets,4000,Industrial Products,400024,Fabricated Materials,4000247B,Fabricated Materials,01,Manufacturing
